segment_id,osm_way_id
d214e2d3f66e24d22cc1fd12f978adfa9d5aed0c,25036471
54c57029b1e2b5ca368267e888b93c5d4cc7a09c,192930781
47556fb341eff6f26581d5dfcd1d8f337bf1ccd4,380157184
4b65c47d5b2d4128e348ff6bac112c1fba018b38,184369652
618129053a88635516f7570a0327db49b7182146,494792459
a616dca4f17b7eb260de0f006c45b9f53abefd4b,4962801
95c0bdb8aee149926e3faaa59e1971409d549ee6,540405737
eb0c3e560e6223f2de957dd12e0a7eb67dac9b0f,192930787
070b4b3e7e79b0be6acb96c89e7736b0c68929c5,603532983
33255a0a02b13f2d404fb217204465cb3bcc1615,42399905
0ce0df5620656332682a73ea1334bace6c3a8c34,305894217
35d450b69b0e327a6a40ceae381a601c055e4bba,215077525
7d00313df56a2c03dd5cd413a9416374bef81b43,380276555
a9f86c657ef91689d3b17df24b5e988b9bdb1d75,645024049
130795d1ddad914bcfef1dda18b6fe23bc76253e,87651111
39e7b8461e9bb901292001cd6edb65c2171b335a,414387711
d0167ec70925c8b446f7536547d979aeb2ed07c5,494189280
f60e541ecad321b9342ad9868bafd5afea734985,380130972
018c6930af2d7ce2a1b27b95b3bfe47634d3b9a3,478707318
0c1f9b15cd305d9ca3453bcf13f897da9e923fcc,184369597
3ac457641c92936849d1cea2ca7a4f5e4382ec19,25761965
20d304df7f72323898d7b27b0107a89612519be3,641586839
71181bd568c97c07c7883678ed2135b11d7e2006,641683349
2e64964f251163f995eb30f5aa8cb1effc3a9808,241398020
b8a9eb24041db2ca4e98996c1b2cff34d13ac274,26842796
ecc08a190ed158292c6d6c0b3be5b61575e25191,583755498
136e2b1b4a11b0600796ad8a72783adb0f8f1089,380165022
1ec328bd39c17034de717a96f4992f31bc1cb480,434715550
6be4a454de4a8a11034792f5a8ea40abd6f1ac80,478535754
332742721af623af37dcd342f867e25f73ac50c4,93672095
0006d1f9727998710384fcc137090007e360cc37,375080684
102659cf53e8e8a2cb883576636fae88269f66ca,4821502
7097b5df2c5dab21ef9bece11c945885d362f5b3,117718160
d14539a0e87a1252350a14679791d0b21021088f,293312054
2d0c437019e2003fb7b554c07e93dce0550320da,447244578
8b97872bd85b70ab087412cd76c04e3f9ce42366,633347338
d933a167a08b3d6d22048fed604c617973fb4ad6,26727648
cbd2c9856ae84f7440d2cb8a84d3743ea599a2b4,293961572
1c2556652352f5ed1183ead7cf1c6e3e0963574e,492598161
68a61d1d3df08adc1dfb23777377ce11a9774870,488342228
7ee5c1c0bd21c2109b7868da42d096504f223d22,130097052
3cf0274e0d36d22a1ed5dc0c551b089eb4285371,374433325
98b5b04683e1b6b1e08fb87ddc331fca351dae1b,333971201
cea371c262256330f3b63096e49428f6e3f2d942,478535780
7e58a3a970d9060298e39fd842ccecfa426ea6cf,504718117
9daa19ddf8acb2463ea91b681a16ac135ce3ca64,120736091
660fabf59f921d1914a841f0030aa4e682b402e5,126624641
355108487195571ccb1d586b311edf634d0add6d,96567411
ad48c4bbf33f3552a2f9cdfe7a438fd9f384f10a,650757186
59f9683f9d08d33cd25f40a3382639d8d1330a2c,4723967
0a834282eaf0f18e977d379c2b15a635b6518689,163639669
1dff86c3e1b5dcc3e62f2dd8b57c40fcaf37c850,416371734
d12e793d591033ab7d12778c550a7256c852d058,552379232
c81d03020086390101356f274407b90492b0fd70,34870319
6e02e9dbeae736e698e00231b9c96fa9ad46e9c8,167402991
b3f400a93ed53a07be775b377689e4b3241c5da0,375562038
4f0eafa9f4a73eeb6c1f25ef4039c91d97997c63,40317989
400b378fb9636203a4360f30b5aba7b2157f4e6b,206260314
55102ebd6ed0db980af5c055c5d30bb7441bc649,404294287
cbee3f57ca1595affdbb798d53df5fc8c0d990e8,192745407
13acbf1990789c560c0ebdfe9f79a5f68d7faf15,294010637
46e8d9a1fde1e9adb93114a3944995e0d308bbab,650752482
76c2e83f1202aed320f04048aa02a279b9f56069,101201610
5794e79ee8d744bc5f8764cea67fcaaed34ad0f9,246938850
a4a6614284248d63f4c96c41f17ec5cd92d76b20,430871003
8eaa3f5ba910f2d2fd8c169c04c83464fdbe891a,579996945
05884b35896caff236b402be25bc89685590dcb3,650758700
51f282dbd5f42d3374ad6fd555af4ed43367ae60,436424398
472194bdf65806be53cded0b14f4dabf8f30d881,231503846
af0bc89449943203847af27ce9101989231ef473,551705997
4ced3d4c47adbc881f15addc0abd8fa7d709f423,641599138
132abd9b4f329e01b95870acb00405d96d2b909a,239424393
5b94a7da6b6c380f178eee75cf199faeb09d8377,380272084
4848f7c2d42d5c8dc44eb5f4277bbea63a82cf59,641667135
69e732db34bc14b2e8edb7e5feb4118653daf942,641667135
c6c82af3c2d8fb3c9af35aca77d802a08d06ca3e,380173469
fd5ba0e16ac0b117993e2a2d760b78333b2f123e,148693846
5f17f68861eada86451dd9dbafac6f6b63973cc6,294175750
791bf42dddb8b9acf2c3d2cb9661e6d73a174a2f,96566777
cac912d52f44f751b80cd957cb73ea0a8072fe74,238810107
844bd198763dbcdbf92b6128ba2289694638e2b0,333021921
b16f1cd448ed5088bb2fe564a1e474a4c7a2fb69,364028134
907fe7c0b21914d784a1ad245843833087a8604e,642576663
a706cc786a313bf56f5015d4e92818c9724156f8,380272127
81b9d0fcc83f19e0b26b543988c39927130c371a,463522911
45ded2cc6c6acba2392062ed788d088be88dfda4,287079688
8af993a5dbcb07b0f597c3bdf1cc223394c1fa21,121271216
b24c808717018f77d0961c73550aa920e7f2612d,385443748
1c45b928ac340bf703a53e4e18793dd7db14685e,100199210
4916a301edd68c47b74681eb693a95c0846f25c3,86401808
bc0b1235ef4ce89309bd574a8c497b588f0a3a1c,642270174
21f82628774056cb76616e7341975160f4b44fa3,389594234
4ed24a2c45714d500a6a3aebc8d474245b67e460,643893565
4b8e0ccc4b84ca14cbaaecb82bf25ddbf04c2b6a,652455037
fbac4fae04bcadf35423345041b366e3e0ec28ff,332539158
b02ed0eeca031a1945b8b322de26a403642611ab,77048320
cab195fccbbf31ae4e7c97674c611267e096e616,488350188
0e5ca2f5637bc89b95a65d78e9ce6fc3622d9f6e,479236613
405e057baa657b3c234b057b2150eb00192fdacf,35283037
4368d2c54e48e6a5aff2b497ae2a40de2c111241,552376627
cc430845e802f58957008d8d4b9a3cf20ad6e0b9,87644547
1d3fb011ccedcd4163c97b22ced8c0e85aa5cc97,114729793
fd57c0571f7f891a6f97de854e41ab694c655733,184369624
8654b87c11dfe1bf0243fba794cfadda60c09187,444190319
3e192808f1c187251be28d57888ba2084b033c16,167407254
9f147d11cb0ebb7b6fbb18afd10d714c311df251,375981288
817f9fc45fa64d438e9c3ea5c74147a460fe1d5d,25796536
12903289a244568527e7fec580a0065ae6afe473,380294410
6fc4796a9b27834a3e3b95aa902aaf977335428c,641586807
78708d7a7a02cdbf41ea6ad9275a677764a66066,584887778
e1216945ee9e9d6a1f665ceadbd731dd1e07b91a,140305993
3832156c21a86881b58cd5c1397496f41040d137,587334619
21cf789546bf5db710ec1a1d73f90d55a6096e1b,330493091
812be60517203116dac9d108819c0d76ef162024,195190558
c5837290198d7f10a8670f4ecbe8c30238019bad,587586445
14997ae01bcc4ce7d017b303131610e863cf8089,114394269
361303fcc2a87697b62629b320dcace7b22670e3,413730054
8cc0e12c539c1549006cf8217be2f3c7b7e16d19,642943469
5422beacab60b3f38083587611ac914b7b3b9238,128118286
268660debf8dc3449935ed5c3cc3d45ec0fdf265,385780385
ea9c45289b6c6ed66501afe7fdc1601f04dd9cfc,478707289
4567f80aee8896c00db54365053635a6d7dc437d,26791422
6e8e6acda3cdef89bd454086039e4d71ef347d98,88395766
455e4591d3880c821d1a4fc605bef89c9c79dd0c,174315854
c3de402c46f38f862194d3ab66081b194a007131,231508268
1bbabb3a0d4f7c27ae26b862ac0c0f72140433b8,466390057
7f0d214091e37bd9696f20144db798c5a7b90d2b,641586789
a97e781155e84477ccfc26e5aa94f5d528155055,380166132
031a0abed029a21ce0b155f2d2ca27ef0b457ef3,434803596
0ad5aefc17f6474915a96d27edc3ddfd7657842f,492585945
e2a5f5f93081cfa476faa4207b9cb87a8f881cf0,642943504
0a99dbdd1a96226e0801bdcf1e901de8c5555c2c,77344708
e56bb1de19e84c1112512ceba94d128d73072fc7,183678863
930fa354681cfe1e8a45419b831f6428bcc8fd38,193629050
bbabef7defd436ea61847afbeb30b910ff51d2f3,198232546
b2a66f5d3cb8f006d8fb6d8b5df02da12a9e1130,240064990
05b07c083e330589425a6fb2745e05193935d575,498445240
38374dc711128c00d0dc540240397d75574ab2be,627769935
70b3fb52ced7f2aadb0236ac9d97bfdf9c687fe9,138999313
0d6a94c1192398937e5538b2c75abb3f25c7eb6a,238180208
47ef9cd425394cc04db23128e51e9ccd8d243956,583039625
496e77784a5cfb97b67674c09b9f48eb5fece379,468043672
9ba4c523e9cbb4d68b976882ac478cd547c14889,86218283
c43092c1cea615ae7653351e33d6a187f2dfe36c,551705067
b2d47e6fa2bfe18c9022d2129aca7c503c844e2f,245261814
f99c347af603e00576a2e6c4ef69472929ed9506,382578560
09aec6ab7385a8f9374e8f37829b87df55be724e,478624208
0c584ae4fee47cf59c64cbb74e2f8238b2743077,131903398
7c0ed8b681e9469ac792a099c73e6f609ab9e897,182627153
e7a76a43f720c8c9c672d12c32eef789c55a5314,241396744
ba699098447326306c9e6330095c5717c26d3d64,380181764
01738ffcca4a1af0389a0613b6f74f4a30637118,478535838
a106c58ec2323c92c60fccd7ffccd8852c6e1782,567085665
db80547d32a691bfcc1f980377c81295c98e189b,494792419
2d2862cacd051395b3d8386b3e917203805b5639,630814573
61af15dd18b87b30272ac753b2f7d29e7c3b294b,167402997
d36c96141023d1617ca67a626a3a95ea85b8ec8f,313684902
9e454606e18f38e0030e553eb96dcc887ac32a7b,385446571
9fac722540a29debee075279c42f9d706c14c6d7,627786723
d132f710084016b63f94f2453531b628faeb0b6c,95122017
364a0c784ed981747b3826925bf652a7723ff291,240330494
9b63d962fe97a91f82cf5bfb1ee895770c0935c9,162030322
90a6a3d524ef708ea824de99432f8e4cf07eb29b,100200829
bc7b3026ef2598c175bf86ae56bda5a2411c848c,295364774
d804cb5df04371eb174e53bc60ec7ccca4faad5d,126418715
ab458d535d01220804649243570810a28dd2ff4b,200708109
829f2c5b1622afd396642c98bc1230572f3c289c,260253225
00c674e89ffab8676e152d48b33b30516788905a,183683835
370220d645fc9bb749b7b342ec0c8aa251f8c51b,239935097
49c62339dde2ab01342b2ead8e391b616e378a50,380180249
b7925b65607b0771f673a5cca57ee10ecc4f780c,231355848
5a5f2fba04e08a579ba21ccfca6fcfa99289e0e3,438529044
afbc2dba8c2a6e8e31311bf49f69f5812a057ef4,87277492
b6bf32334929662e5bf5e40c6261d88f330240af,411791154
ff15fecfdbb31d23f8569b9e184565a9420269ed,167531418
f356ff8a31be50708bf4ab938b3e702c026452db,650737444
ecc6f47388693d0809b2d8266048625fb62c0ca5,411772607
8f9d2c908e9b3d054199b8dfcdcdd5afb00dbbed,70562354
a7667d250d10f497d9bad5912ce7abca307bad89,344074127
13f894d31e0ac048efac79659ba895d2bbf00a81,154067949
61082562eae6e5b4f2fa4ba3d6a3c049a9ddc17a,301737423
3980e76c4485d4bec7771cb93444305489228d89,183683848
04e7c8aa94d8ced34c5e671feb026bacbce52c6c,224916677
b8345c2803960411aee5b1c2b926097a49000d24,198232877
40b6708425f00665c237e4f08a54b357dee5b3af,84629925
dbc207774a357cf0bdeced111fdfdf1a74cf184d,380268998
